Team,RS,RA,OBP,SLG,BA,Playoffs
ATL,735,641,0.339,0.405,0.263,0
BAL,741,876,0.332,0.415,0.268,0
BOS,872,736,0.352,0.454,0.27,1
CHC,707,672,0.332,0.407,0.255,0
CHW,724,732,0.329,0.411,0.258,0
CIN,673,723,0.318,0.394,0.247,0
CLE,773,865,0.339,0.417,0.264,0
COL,804,715,0.343,0.441,0.261,1
DET,743,745,0.331,0.416,0.26,0
FLA,772,766,0.34,0.416,0.268,0
HOU,643,770,0.319,0.4,0.26,0
KCR,686,842,0.318,0.405,0.259,0
LAA,883,761,0.35,0.441,0.285,1
LAD,780,611,0.346,0.412,0.27,1
MIL,785,818,0.341,0.426,0.263,0
MIN,817,765,0.345,0.429,0.274,1
NYM,671,757,0.335,0.394,0.27,0
NYY,915,753,0.362,0.478,0.283,1
OAK,759,761,0.328,0.397,0.262,0
PHI,820,709,0.334,0.447,0.258,1
PIT,636,768,0.318,0.387,0.252,0
SDP,638,769,0.321,0.381,0.242,0
SEA,640,692,0.314,0.402,0.258,0
SFG,657,611,0.309,0.389,0.257,0
STL,730,640,0.332,0.415,0.263,1
TBR,803,754,0.343,0.439,0.263,0
TEX,784,740,0.32,0.445,0.26,0
TOR,798,771,0.333,0.44,0.266,0
WSN,710,874,0.337,0.406,0.258,0
ARI,720,706,0.327,0.415,0.251,0
ATL,753,778,0.345,0.408,0.27,0
BAL,782,869,0.333,0.429,0.267,0
BOS,845,694,0.358,0.447,0.28,1
CHC,855,671,0.354,0.443,0.278,1
CHW,811,729,0.332,0.448,0.263,1
CIN,704,800,0.321,0.408,0.247,0
CLE,805,761,0.339,0.424,0.262,0
COL,747,822,0.336,0.415,0.263,0
DET,821,857,0.34,0.444,0.271,0
FLA,770,767,0.326,0.433,0.254,0
HOU,712,743,0.323,0.415,0.263,0
KCR,691,781,0.32,0.397,0.269,0
LAA,765,697,0.33,0.413,0.268,1
LAD,700,648,0.333,0.399,0.264,1
MIL,750,689,0.325,0.431,0.253,1
MIN,829,745,0.34,0.408,0.279,0
NYM,799,715,0.34,0.42,0.266,0
NYY,789,727,0.342,0.427,0.271,0
OAK,646,690,0.318,0.369,0.242,0
PHI,799,680,0.332,0.438,0.255,1
PIT,735,884,0.32,0.403,0.258,0
SDP,637,764,0.317,0.39,0.25,0
SEA,671,811,0.318,0.389,0.265,0
SFG,640,759,0.321,0.382,0.262,0
STL,779,725,0.35,0.433,0.281,0
TBR,774,671,0.34,0.422,0.26,1
TEX,901,967,0.354,0.462,0.283,0
TOR,714,610,0.331,0.399,0.264,0
WSN,641,825,0.323,0.373,0.251,0
ARI,712,732,0.321,0.413,0.25,1
ATL,810,733,0.339,0.435,0.275,0
BAL,756,868,0.333,0.412,0.272,0
BOS,867,657,0.362,0.444,0.279,1
CHC,752,690,0.333,0.422,0.271,1
CHW,693,839,0.318,0.404,0.246,0
CIN,783,853,0.335,0.436,0.267,0
CLE,811,704,0.343,0.428,0.268,1
COL,860,758,0.354,0.437,0.28,1
DET,887,797,0.345,0.458,0.287,0
FLA,790,891,0.336,0.448,0.267,0
HOU,723,813,0.33,0.412,0.26,0
KCR,706,778,0.322,0.388,0.261,0
LAA,822,731,0.345,0.417,0.284,1
LAD,735,727,0.337,0.406,0.275,0
MIL,801,776,0.329,0.456,0.262,0
MIN,718,725,0.33,0.391,0.264,0
NYM,804,750,0.342,0.432,0.275,0
NYY,968,777,0.366,0.463,0.29,1
OAK,741,758,0.338,0.407,0.256,0
PHI,892,821,0.354,0.458,0.274,1
PIT,724,846,0.325,0.411,0.263,0
SDP,741,666,0.322,0.411,0.251,0
SEA,794,813,0.337,0.425,0.287,0
SFG,683,720,0.322,0.387,0.254,0
STL,725,829,0.337,0.405,0.274,0
TBD,782,944,0.336,0.433,0.268,0
TEX,816,844,0.328,0.426,0.263,0
TOR,753,699,0.327,0.419,0.259,0
WSN,673,783,0.325,0.39,0.256,0
ARI,773,788,0.331,0.424,0.267,0
ATL,849,805,0.337,0.455,0.27,0
BAL,768,899,0.339,0.424,0.277,0
BOS,820,825,0.351,0.435,0.269,0
CHC,716,834,0.319,0.422,0.268,0
CHW,868,794,0.342,0.464,0.28,0
CIN,749,801,0.336,0.432,0.257,0
CLE,870,782,0.349,0.457,0.28,0
COL,813,812,0.341,0.433,0.27,0
DET,822,675,0.329,0.449,0.274,1
FLA,758,772,0.331,0.435,0.264,0
HOU,735,719,0.332,0.409,0.255,0
KCR,757,971,0.332,0.411,0.271,0
LAA,766,732,0.334,0.425,0.274,0
LAD,820,751,0.348,0.432,0.276,1
MIL,730,833,0.327,0.42,0.258,0
MIN,801,683,0.347,0.425,0.287,1
NYM,834,731,0.334,0.445,0.264,1
NYY,930,767,0.363,0.461,0.285,1
OAK,771,727,0.34,0.412,0.26,1
PHI,865,812,0.347,0.447,0.267,0
PIT,691,797,0.327,0.397,0.263,0
SDP,731,679,0.332,0.416,0.263,1
SEA,756,792,0.325,0.424,0.272,0
SFG,746,790,0.324,0.422,0.259,0
STL,781,762,0.337,0.431,0.269,1
TBD,689,856,0.314,0.42,0.255,0
TEX,835,784,0.338,0.446,0.278,0
TOR,809,754,0.348,0.463,0.284,0
WSN,746,872,0.338,0.418,0.262,0
ARI,696,856,0.332,0.421,0.256,0
ATL,769,674,0.333,0.435,0.265,1
BAL,729,800,0.327,0.434,0.269,0
BOS,910,805,0.357,0.454,0.281,1
CHC,703,714,0.324,0.44,0.27,0
CHW,741,645,0.322,0.425,0.262,1
CIN,820,889,0.339,0.446,0.261,0
CLE,790,642,0.334,0.453,0.271,0
COL,740,862,0.333,0.411,0.267,0
DET,723,787,0.321,0.428,0.272,0
FLA,717,732,0.339,0.409,0.272,0
HOU,693,609,0.322,0.408,0.256,1
KCR,701,935,0.32,0.396,0.263,0
LAA,761,643,0.325,0.409,0.27,1
LAD,685,755,0.326,0.395,0.253,0
MIL,726,697,0.331,0.423,0.259,0
MIN,688,662,0.323,0.391,0.259,0
NYM,722,648,0.322,0.416,0.258,0
NYY,886,789,0.355,0.45,0.276,1
OAK,772,658,0.33,0.407,0.262,0
PHI,807,726,0.348,0.423,0.27,0
PIT,680,769,0.322,0.4,0.259,0
SDP,684,726,0.333,0.391,0.257,1
SEA,699,751,0.317,0.391,0.256,0
SFG,649,745,0.319,0.396,0.261,0
STL,805,634,0.339,0.423,0.27,1
TBD,750,936,0.329,0.425,0.274,0
TEX,865,858,0.329,0.468,0.267,0
TOR,775,705,0.331,0.407,0.265,0
WSN,639,673,0.322,0.386,0.252,0
ANA,836,734,0.341,0.429,0.282,1
ARI,615,899,0.31,0.393,0.253,0
ATL,803,668,0.343,0.434,0.27,1
BAL,842,830,0.345,0.432,0.281,0
BOS,949,768,0.36,0.472,0.282,1
CHC,789,665,0.328,0.458,0.268,0
CHW,865,831,0.333,0.457,0.268,0
CIN,750,907,0.331,0.418,0.25,0
CLE,858,857,0.351,0.444,0.276,0
COL,833,923,0.345,0.455,0.275,0
DET,827,844,0.337,0.449,0.272,0
FLA,718,700,0.329,0.406,0.264,0
HOU,803,698,0.342,0.436,0.267,1
KCR,720,905,0.322,0.397,0.259,0
LAD,761,684,0.332,0.423,0.262,1
MIL,634,757,0.321,0.387,0.248,0
MIN,780,715,0.332,0.431,0.266,1
MON,635,769,0.313,0.392,0.249,0
NYM,684,731,0.317,0.409,0.249,0
NYY,897,808,0.353,0.458,0.268,1
OAK,793,742,0.343,0.433,0.27,0
PHI,840,781,0.345,0.443,0.267,0
PIT,680,744,0.321,0.401,0.26,0
SDP,768,705,0.342,0.414,0.273,0
SEA,698,823,0.331,0.396,0.27,0
SFG,850,770,0.357,0.438,0.27,0
STL,855,659,0.344,0.46,0.278,1
TBD,714,842,0.32,0.405,0.258,0
TEX,860,794,0.329,0.457,0.266,0
TOR,719,823,0.328,0.403,0.26,0
ANA,736,743,0.33,0.413,0.268,0
ARI,717,685,0.33,0.417,0.263,0
ATL,907,740,0.349,0.475,0.284,1
BAL,743,820,0.323,0.405,0.268,0
BOS,961,809,0.36,0.491,0.289,1
CHC,724,683,0.323,0.416,0.259,1
CHW,791,715,0.331,0.446,0.263,0
CIN,694,886,0.318,0.395,0.245,0
CLE,699,778,0.316,0.401,0.254,0
COL,853,892,0.344,0.445,0.267,0
DET,591,928,0.3,0.375,0.24,0
FLA,751,692,0.333,0.421,0.266,1
HOU,805,677,0.336,0.431,0.263,0
KCR,836,867,0.336,0.427,0.274,0
LAD,574,556,0.303,0.368,0.243,0
MIL,714,873,0.329,0.419,0.256,0
MIN,801,758,0.341,0.431,0.277,1
MON,711,716,0.326,0.401,0.258,0
NYM,642,754,0.314,0.374,0.247,0
NYY,877,716,0.356,0.453,0.271,1
OAK,768,643,0.327,0.417,0.254,1
PHI,791,697,0.343,0.419,0.261,0
PIT,753,801,0.338,0.42,0.267,0
SDP,678,831,0.333,0.388,0.261,0
SEA,795,637,0.344,0.41,0.271,0
SFG,755,638,0.338,0.425,0.264,1
STL,876,796,0.35,0.454,0.279,0
TBD,715,852,0.32,0.404,0.265,0
TEX,826,969,0.33,0.454,0.266,0
TOR,894,826,0.349,0.455,0.279,0
ANA,851,644,0.341,0.433,0.282,1
ARI,819,674,0.346,0.423,0.267,1
ATL,708,565,0.331,0.409,0.26,1
BAL,667,773,0.309,0.403,0.246,0
BOS,859,665,0.345,0.444,0.277,0
CHC,706,759,0.321,0.413,0.246,0
CHW,856,798,0.338,0.449,0.268,0
CIN,709,774,0.33,0.408,0.253,0
CLE,739,837,0.321,0.412,0.249,0
COL,778,898,0.337,0.423,0.274,0
DET,575,864,0.3,0.379,0.248,0
FLA,699,763,0.337,0.403,0.261,0
HOU,749,695,0.338,0.417,0.262,0
KCR,737,891,0.323,0.398,0.256,0
LAD,713,643,0.32,0.409,0.264,0
MIL,627,821,0.32,0.39,0.253,0
MIN,768,712,0.332,0.437,0.272,1
MON,735,718,0.334,0.418,0.261,0
NYM,690,703,0.322,0.395,0.256,0
NYY,897,697,0.354,0.455,0.275,1
OAK,800,654,0.339,0.432,0.261,1
PHI,710,724,0.339,0.422,0.259,0
PIT,641,730,0.319,0.381,0.244,0
SDP,662,815,0.321,0.381,0.253,0
SEA,814,699,0.35,0.419,0.275,0
SFG,783,616,0.344,0.442,0.267,1
STL,787,648,0.338,0.425,0.268,1
TBD,673,918,0.314,0.39,0.253,0
TEX,843,882,0.338,0.455,0.269,0
TOR,813,828,0.327,0.43,0.261,0
ANA,691,730,0.327,0.405,0.261,0
ARI,818,677,0.341,0.442,0.267,1
ATL,729,643,0.324,0.412,0.26,1
BAL,687,829,0.319,0.38,0.248,0
BOS,772,745,0.334,0.439,0.266,0
CHC,777,701,0.336,0.43,0.261,0
CHW,798,795,0.334,0.451,0.268,0
CIN,735,850,0.324,0.419,0.262,0
CLE,897,821,0.35,0.458,0.278,1
COL,923,906,0.354,0.483,0.292,0
DET,724,876,0.32,0.409,0.26,0
FLA,742,744,0.326,0.423,0.264,0
HOU,847,769,0.347,0.451,0.271,1
KCR,729,858,0.318,0.409,0.266,0
LAD,758,744,0.323,0.425,0.255,0
MIL,740,806,0.319,0.426,0.251,0
MIN,771,766,0.337,0.433,0.272,0
MON,670,812,0.319,0.396,0.253,0
NYM,642,713,0.323,0.387,0.249,0
NYY,804,713,0.334,0.435,0.267,1
OAK,884,645,0.345,0.439,0.264,1
PHI,746,719,0.329,0.414,0.26,0
PIT,657,858,0.313,0.393,0.247,0
SDP,789,812,0.336,0.399,0.252,0
SEA,927,627,0.36,0.445,0.288,1
SFG,799,748,0.342,0.46,0.266,0
STL,814,684,0.339,0.441,0.27,1
TBD,672,887,0.32,0.388,0.258,0
TEX,890,968,0.344,0.471,0.275,0
TOR,767,753,0.325,0.43,0.263,0
ANA,864,869,0.352,0.472,0.28,0
ARI,792,754,0.333,0.429,0.265,0
ATL,810,714,0.346,0.429,0.271,1
BAL,794,913,0.341,0.435,0.272,0
BOS,792,745,0.341,0.423,0.267,0
CHC,764,904,0.335,0.411,0.256,0
CHW,978,839,0.356,0.47,0.286,1
CIN,825,765,0.343,0.447,0.274,0
CLE,950,816,0.367,0.47,0.288,0
COL,968,897,0.362,0.455,0.294,0
DET,823,827,0.343,0.438,0.275,0
FLA,731,797,0.331,0.409,0.262,0
HOU,938,944,0.361,0.477,0.278,0
KCR,879,930,0.348,0.425,0.288,0
LAD,798,729,0.341,0.431,0.257,0
MIL,740,826,0.325,0.403,0.246,0
MIN,748,880,0.337,0.407,0.27,0
MON,738,902,0.326,0.432,0.266,0
NYM,807,738,0.346,0.43,0.263,1
NYY,871,814,0.354,0.45,0.277,1
OAK,947,813,0.36,0.458,0.27,1
PHI,708,830,0.329,0.4,0.251,0
PIT,793,888,0.339,0.424,0.267,0
SDP,752,815,0.33,0.402,0.254,0
SEA,907,780,0.361,0.442,0.269,1
SFG,925,747,0.362,0.472,0.278,1
STL,887,771,0.356,0.455,0.27,1
TBD,733,842,0.329,0.399,0.257,0
TEX,848,974,0.352,0.446,0.283,0
TOR,861,908,0.341,0.469,0.275,0
ANA,711,826,0.322,0.395,0.256,0
ARI,908,676,0.347,0.459,0.277,1
ATL,840,661,0.341,0.436,0.266,1
BAL,851,815,0.353,0.447,0.279,0
BOS,836,718,0.35,0.448,0.278,1
CHC,747,920,0.329,0.42,0.257,0
CHW,777,870,0.337,0.429,0.277,0
CIN,865,711,0.341,0.451,0.272,0
CLE,1009,860,0.373,0.467,0.289,1
COL,906,1028,0.348,0.472,0.288,0
DET,747,882,0.326,0.443,0.261,0
FLA,691,852,0.325,0.395,0.263,0
HOU,823,675,0.355,0.42,0.267,1
KCR,856,921,0.348,0.433,0.282,0
LAD,793,787,0.339,0.42,0.266,0
MIL,815,886,0.353,0.426,0.273,0
MIN,686,845,0.328,0.384,0.264,0
MON,718,853,0.323,0.427,0.265,0
NYM,853,711,0.363,0.434,0.279,1
NYY,900,731,0.366,0.453,0.282,1
OAK,893,846,0.355,0.446,0.259,0
PHI,841,846,0.351,0.431,0.275,0
PIT,775,782,0.334,0.419,0.259,0
SDP,710,781,0.332,0.393,0.252,0
SEA,859,905,0.343,0.455,0.269,0
SFG,872,831,0.356,0.434,0.271,0
STL,809,838,0.338,0.426,0.262,0
TBD,772,913,0.343,0.411,0.274,0
TEX,945,859,0.361,0.479,0.293,1
TOR,883,862,0.352,0.457,0.28,0
ANA,787,783,0.335,0.415,0.272,0
ARI,665,812,0.314,0.393,0.246,0
ATL,826,581,0.342,0.453,0.272,1
BAL,817,785,0.347,0.447,0.273,0
BOS,876,729,0.348,0.463,0.28,1
CHC,831,792,0.337,0.433,0.264,1
CHW,861,931,0.339,0.444,0.271,0
CIN,750,760,0.337,0.402,0.262,0
CLE,850,779,0.347,0.448,0.272,1
COL,826,855,0.347,0.461,0.291,0
DET,722,863,0.323,0.415,0.264,0
FLA,667,923,0.317,0.373,0.248,0
HOU,874,620,0.356,0.436,0.28,1
KCR,714,899,0.324,0.399,0.263,0
LAD,669,678,0.31,0.387,0.252,0
MIL,707,812,0.33,0.396,0.26,0
MIN,734,818,0.328,0.389,0.266,0
MON,644,783,0.31,0.394,0.249,0
NYM,706,645,0.33,0.394,0.259,0
NYY,965,656,0.364,0.46,0.288,1
OAK,804,866,0.338,0.397,0.257,0
PHI,713,808,0.326,0.395,0.264,0
PIT,650,718,0.311,0.374,0.254,0
SDP,749,635,0.33,0.409,0.253,1
SEA,859,855,0.345,0.468,0.276,0
SFG,845,739,0.353,0.421,0.274,0
STL,810,782,0.341,0.441,0.258,0
TBD,620,751,0.321,0.385,0.261,0
TEX,940,871,0.357,0.462,0.289,1
TOR,816,768,0.34,0.448,0.266,0
ANA,829,794,0.346,0.416,0.272,0
ATL,791,581,0.343,0.426,0.27,1
BAL,812,681,0.341,0.429,0.268,1
BOS,851,857,0.352,0.463,0.291,0
CHC,687,759,0.321,0.396,0.263,0
CHW,779,833,0.341,0.417,0.273,0
CIN,651,764,0.321,0.389,0.253,0
CLE,868,815,0.358,0.467,0.286,1
COL,923,908,0.357,0.478,0.288,0
DET,784,790,0.332,0.415,0.258,0
FLA,740,669,0.346,0.395,0.259,1
HOU,777,660,0.344,0.403,0.259,1
KCR,747,820,0.333,0.407,0.264,0
LAD,742,645,0.33,0.418,0.268,0
MIL,681,742,0.325,0.398,0.26,0
MIN,772,861,0.333,0.409,0.27,0
MON,691,740,0.316,0.425,0.258,0
NYM,777,709,0.332,0.405,0.262,0
NYY,891,688,0.362,0.436,0.287,1
OAK,764,946,0.339,0.423,0.26,0
PHI,668,840,0.322,0.385,0.255,0
PIT,725,760,0.329,0.404,0.262,0
SDP,795,891,0.342,0.407,0.271,0
SEA,925,833,0.355,0.485,0.28,1
SFG,784,793,0.337,0.414,0.258,1
STL,689,708,0.324,0.396,0.255,0
TEX,807,823,0.334,0.438,0.274,0
TOR,654,694,0.31,0.389,0.244,0
ATL,773,648,0.333,0.432,0.27,1
BAL,949,903,0.35,0.472,0.274,1
BOS,928,921,0.359,0.457,0.283,0
CAL,762,943,0.339,0.431,0.276,0
CHC,772,771,0.32,0.401,0.251,0
CHW,898,794,0.36,0.447,0.281,0
CIN,778,773,0.331,0.422,0.256,0
CLE,952,769,0.369,0.475,0.293,1
COL,961,964,0.355,0.472,0.287,0
DET,783,1103,0.323,0.42,0.256,0
FLA,688,703,0.329,0.393,0.257,0
HOU,753,792,0.336,0.397,0.262,0
KCR,746,786,0.332,0.398,0.267,0
LAD,703,652,0.316,0.384,0.252,1
MIL,894,899,0.353,0.441,0.279,0
MIN,877,900,0.357,0.425,0.288,0
MON,741,668,0.327,0.406,0.262,0
NYM,746,779,0.324,0.412,0.27,0
NYY,871,787,0.36,0.436,0.288,1
OAK,861,900,0.344,0.452,0.265,0
PHI,650,790,0.325,0.387,0.256,0
PIT,776,833,0.329,0.407,0.266,0
SDP,771,682,0.338,0.402,0.265,1
SEA,993,895,0.366,0.484,0.287,0
SFG,752,862,0.331,0.388,0.253,0
STL,759,706,0.33,0.407,0.267,1
TEX,928,799,0.358,0.469,0.284,1
TOR,766,809,0.331,0.42,0.259,0
ATL,767,559,0.331,0.408,0.262,1
BAL,786,745,0.346,0.413,0.267,0
BOS,686,698,0.33,0.395,0.264,0
CAL,684,770,0.331,0.38,0.26,0
CHC,738,739,0.325,0.414,0.27,0
CHW,776,664,0.338,0.411,0.265,1
CIN,722,785,0.324,0.396,0.264,0
CLE,790,813,0.335,0.409,0.275,0
COL,758,967,0.323,0.422,0.273,0
DET,899,837,0.362,0.434,0.275,0
FLA,581,724,0.314,0.346,0.248,0
HOU,716,630,0.33,0.409,0.267,0
KCR,675,694,0.32,0.397,0.263,0
LAD,675,662,0.321,0.383,0.261,0
MIL,733,792,0.328,0.378,0.258,0
MIN,693,830,0.327,0.385,0.264,0
MON,732,682,0.326,0.386,0.257,0
NYM,672,744,0.305,0.39,0.248,0
NYY,821,761,0.353,0.435,0.279,0
OAK,715,846,0.33,0.394,0.254,0
PHI,877,740,0.351,0.426,0.274,1
PIT,707,806,0.335,0.393,0.267,0
SDP,679,772,0.312,0.389,0.252,0
SEA,734,731,0.339,0.406,0.26,0
SFG,808,636,0.34,0.427,0.276,0
STL,758,744,0.341,0.395,0.272,0
TEX,835,751,0.329,0.431,0.267,0
TOR,847,742,0.35,0.436,0.279,1
ATL,682,569,0.316,0.388,0.254,1
BAL,705,656,0.34,0.398,0.259,0
BOS,599,669,0.321,0.347,0.246,0
CAL,579,671,0.301,0.338,0.243,0
CHC,593,624,0.307,0.364,0.254,0
CHW,738,690,0.336,0.383,0.261,0
CIN,660,609,0.328,0.382,0.26,0
CLE,674,746,0.323,0.383,0.266,0
DET,791,794,0.337,0.407,0.256,0
HOU,608,668,0.313,0.359,0.246,0
KCR,610,667,0.315,0.364,0.256,0
LAD,548,636,0.313,0.339,0.248,0
MIL,740,604,0.33,0.375,0.268,0
MIN,747,653,0.341,0.391,0.277,0
MON,648,581,0.313,0.37,0.252,0
NYM,599,653,0.31,0.342,0.235,0
NYY,733,746,0.328,0.406,0.261,0
OAK,745,672,0.346,0.386,0.258,1
PHI,686,717,0.32,0.377,0.253,0
PIT,693,595,0.324,0.381,0.255,1
SDP,617,636,0.313,0.386,0.255,0
SEA,679,799,0.323,0.402,0.263,0
SFG,574,647,0.302,0.355,0.244,0
STL,631,604,0.323,0.375,0.262,0
TEX,682,753,0.321,0.393,0.25,0
TOR,780,682,0.333,0.414,0.263,1
ATL,749,644,0.328,0.393,0.258,1
BAL,686,796,0.319,0.401,0.254,0
BOS,731,712,0.34,0.401,0.269,0
CAL,653,649,0.314,0.374,0.255,0
CHC,695,734,0.309,0.39,0.253,0
CHW,758,681,0.336,0.391,0.262,0
CIN,689,691,0.32,0.403,0.258,0
CLE,576,759,0.313,0.35,0.254,0
DET,817,794,0.333,0.416,0.247,0
HOU,605,717,0.309,0.347,0.244,0
KCR,727,722,0.328,0.394,0.264,0
LAD,665,565,0.326,0.359,0.253,0
MIL,799,744,0.336,0.396,0.271,0
MIN,776,652,0.344,0.42,0.28,1
MON,579,655,0.308,0.357,0.246,0
NYM,640,646,0.317,0.365,0.244,0
NYY,674,777,0.316,0.387,0.256,0
OAK,760,776,0.331,0.389,0.248,0
PHI,629,680,0.303,0.358,0.241,0
PIT,768,632,0.338,0.398,0.263,1
SDP,636,646,0.31,0.362,0.244,0
SEA,702,674,0.328,0.383,0.255,0
SFG,649,697,0.309,0.381,0.246,0
STL,651,648,0.322,0.357,0.255,0
TEX,829,814,0.341,0.424,0.27,0
TOR,684,622,0.322,0.4,0.257,1
ATL,682,821,0.311,0.396,0.25,0
BAL,669,698,0.33,0.37,0.245,0
BOS,699,664,0.344,0.395,0.272,1
CAL,690,706,0.329,0.391,0.26,0
CHC,690,774,0.314,0.392,0.263,0
CHW,682,633,0.32,0.379,0.258,0
CIN,693,597,0.325,0.399,0.265,1
CLE,732,737,0.324,0.391,0.267,0
DET,750,754,0.337,0.409,0.259,0
HOU,573,656,0.313,0.345,0.242,0
KCR,707,709,0.328,0.395,0.267,0
LAD,728,685,0.328,0.382,0.262,0
MIL,732,760,0.32,0.384,0.256,0
MIN,666,729,0.324,0.385,0.265,0
MON,662,598,0.322,0.37,0.25,0
NYM,775,613,0.323,0.408,0.256,0
NYY,603,749,0.3,0.366,0.241,0
OAK,733,570,0.336,0.391,0.254,1
PHI,646,729,0.327,0.363,0.255,0
PIT,733,619,0.33,0.405,0.259,1
SDP,673,673,0.32,0.38,0.257,0
SEA,640,680,0.333,0.373,0.259,0
SFG,719,710,0.323,0.396,0.262,0
STL,599,698,0.32,0.358,0.256,0
TEX,676,696,0.331,0.376,0.259,0
TOR,767,661,0.328,0.419,0.265,0
ATL,584,680,0.298,0.35,0.234,0
BAL,708,686,0.326,0.379,0.252,0
BOS,774,735,0.351,0.403,0.277,0
CAL,669,578,0.311,0.386,0.256,0
CHC,702,623,0.319,0.387,0.261,1
CHW,693,750,0.328,0.383,0.271,0
CIN,632,691,0.309,0.37,0.247,0
CLE,604,654,0.31,0.365,0.245,0
DET,617,816,0.318,0.351,0.242,0
HOU,647,669,0.306,0.345,0.239,0
KCR,690,635,0.329,0.373,0.261,0
LAD,554,536,0.306,0.339,0.24,0
MIL,707,679,0.318,0.382,0.259,0
MIN,740,738,0.334,0.402,0.276,0
MON,632,630,0.319,0.361,0.247,0
NYM,683,595,0.311,0.385,0.246,0
NYY,698,792,0.331,0.391,0.269,0
OAK,712,576,0.331,0.381,0.261,1
PHI,629,735,0.314,0.364,0.243,0
PIT,637,680,0.311,0.359,0.241,0
SDP,642,626,0.319,0.369,0.251,0
SEA,694,728,0.32,0.384,0.257,0
SFG,699,600,0.316,0.39,0.25,1
STL,632,608,0.321,0.363,0.258,0
TEX,695,714,0.326,0.394,0.263,0
