RS,Playoffs
734,0
644,0
706,0
965,1
804,0
713,0
650,0
749,1
859,0
845,0
810,0
620,0
940,1
816,0
829,0
791,1
812,1
851,0
687,0
779,0
651,0
868,1
923,0
784,0
740,1
777,1
747,0
742,0
681,0
772,0
691,0
777,0
891,1
764,0
668,0
725,0
795,0
925,1
784,1
689,0
807,0
654,0
773,1
949,1
928,0
762,0
772,0
898,0
778,0
952,1
961,0
783,0
688,0
753,0
746,0
703,1
894,0
877,0
741,0
746,0
871,1
861,0
650,0
776,0
771,1
993,0
752,0
759,1
928,1
766,0
767,1
786,0
686,0
684,0
738,0
776,1
722,0
790,0
758,0
899,0
581,0
716,0
675,0
675,0
733,0
693,0
732,0
672,0
821,0
715,0
877,1
707,0
679,0
734,0
808,0
758,0
835,0
847,1
682,1
705,0
599,0
579,0
593,0
738,0
660,0
674,0
791,0
608,0
610,0
548,0
740,0
747,0
648,0
599,0
733,0
745,1
686,0
693,1
617,0
679,0
574,0
631,0
682,0
780,1
749,1
686,0
731,0
653,0
695,0
758,0
689,0
576,0
817,0
605,0
727,0
665,0
799,0
776,1
579,0
640,0
674,0
760,0
629,0
768,1
636,0
702,0
649,0
651,0
829,0
684,1
682,0
669,0
699,1
690,0
690,0
682,0
693,1
732,0
750,0
573,0
707,0
728,0
732,0
666,0
662,0
775,0
603,0
733,1
646,0
733,1
673,0
640,0
719,0
599,0
676,0
767,0
584,0
708,0
774,0
669,0
702,1
693,0
632,0
604,0
617,0
647,0
690,0
554,0
707,0
740,0
632,0
683,0
698,0
712,1
629,0
637,0
642,0
694,0
699,1
632,0
695,0
731,1
555,0
550,0
813,1
714,0
660,0
631,0
641,0
666,0
703,0
617,0
704,0
628,1
682,0
759,0
628,0
703,1
772,0
800,1
597,0
651,0
594,0
664,0
670,0
578,0
637,0
763,0
747,0
729,0
842,0
770,0
720,0
748,0
783,0
742,0
896,1
648,0
715,0
635,0
862,0
786,1
741,0
823,0
788,0
806,0
702,0
723,0
668,0
760,0
783,1
798,1
823,0
845,0
615,0
708,0
794,1
786,1
680,0
644,0
732,0
831,0
798,0
654,1
654,0
638,0
667,0
741,0
637,0
783,1
797,0
731,0
739,0
663,0
656,0
718,0
698,0
601,0
771,0
809,0
632,0
818,0
800,0
732,0
686,0
736,0
677,0
729,0
729,0
706,0
687,1
682,1
690,0
705,0
633,0
695,0
839,0
757,0
667,0
568,0
650,0
719,0
556,0
747,1
617,0
759,1
632,0
681,0
810,0
696,0
762,1
679,0
627,0
761,0
829,1
693,0
673,1
580,0
641,0
673,0
593,0
652,0
758,0
738,0
720,0
615,0
686,1
682,0
682,0
652,0
656,0
750,0
746,0
799,1
724,0
722,0
701,0
800,1
623,0
704,0
789,0
643,0
696,0
654,1
764,0
709,0
677,0
575,0
770,0
708,0
696,1
659,0
653,0
558,0
687,0
679,0
639,0
795,0
739,1
774,0
753,0
814,1
676,0
786,0
545,0
683,0
729,0
569,0
784,0
691,0
891,1
657,0
697,0
609,0
709,0
691,0
664,0
724,0
675,0
651,0
673,0
685,1
590,0
651,0
630,0
805,0
757,0
698,0
614,0
587,0
707,0
738,0
830,0
637,1
809,1
663,0
811,0
670,0
694,0
611,0
820,1
686,0
728,1
666,0
591,0
610,0
573,0
738,0
756,0
624,0
669,0
757,1
841,0
866,1
706,0
730,0
731,1
760,0
770,0
583,0
851,0
739,0
807,0
764,0
701,0
593,0
734,0
573,0
683,0
775,1
603,0
711,0
672,0
731,0
750,0
613,0
600,0
659,0
796,0
691,0
664,0
634,0
710,0
639,0
714,0
605,0
743,1
727,1
804,0
666,0
633,0
607,0
735,1
532,0
708,1
684,0
591,0
614,0
613,0
600,0
692,0
590,0
678,0
719,0
859,0
675,0
692,0
844,0
802,0
676,0
714,0
680,0
822,1
769,1
639,0
867,0
665,0
587,0
831,1
605,0
847,1
734,0
692,0
624,0
673,0
737,0
767,0
605,0
620,0
619,0
716,0
550,0
611,0
586,0
857,1
615,0
609,0
625,0
713,1
608,0
570,0
743,0
531,0
615,0
730,1
686,0
770,1
708,0
570,0
595,0
629,0
616,0
583,0
682,0
796,1
628,0
712,0
655,0
840,1
688,0
570,0
664,0
710,0
648,0
675,0
724,0
601,0
646,0
681,0
758,1
735,0
712,1
552,0
659,0
662,0
714,0
661,0
659,1
696,0
618,0
669,0
684,0
776,0
662,0
620,0
653,0
667,0
798,1
647,0
673,0
662,0
572,0
671,0
689,1
676,0
751,1
541,0
634,0
677,0
690,0
799,0
754,1
738,0
629,0
614,0
652,0
741,1
680,0
642,0
681,0
755,0
675,0
708,0
738,0
668,0
608,1
641,0
758,1
642,0
704,0
548,0
739,0
643,0
619,0
643,0
742,1
691,0
511,0
637,0
617,0
586,0
543,0
701,0
585,0
603,0
663,0
534,0
654,0
622,0
588,0
648,0
691,1
558,0
788,1
486,0
706,1
739,0
537,0
736,0
792,1
786,0
631,0
806,0
633,0
775,1
649,0
666,0
744,0
611,0
749,0
613,0
744,1
687,0
695,0
680,0
678,0
594,0
729,1
681,0
831,0
744,0
626,0
691,1
779,1
743,0
528,0
720,0
625,0
798,0
573,0
701,0
676,0
586,0
645,0
790,1
582,0
632,1
562,0
740,0
645,0
725,0
468,0
639,0
713,0
595,0
694,0
514,0
579,0
614,0
498,0
612,0
463,0
690,0
516,0
671,1
510,0
470,0
562,0
473,0
536,0
569,0
543,0
583,0
599,0
583,1
524,0
631,0
654,0
722,1
567,0
702,0
531,0
604,0
559,0
683,0
626,0
533,0
519,0
671,0
498,0
522,0
612,0
679,0
652,0
695,1
550,0
782,0
755,1
655,0
604,0
644,0
574,0
692,0
574,0
719,0
612,0
564,0
606,1
663,0
587,0
611,0
696,0
759,0
675,0
571,0
557,0
641,0
669,0
527,0
635,0
647,0
825,0
663,0
680,0
569,0
585,0
608,1
774,1
708,0
495,0
611,0
654,0
675,0
682,0
707,0
591,0
679,0
688,0
649,0
642,0
660,0
689,0
699,0
495,0
621,0
544,0
614,0
737,0
803,0
569,0
730,1
693,0
663,0
656,0
715,1
578,0
644,0
666,0
570,0
683,0
648,0
635,0
700,0
464,0
615,0
597,0
640,1
767,0
677,0
501,0
714,1
642,0
567,0
725,0
747,0
578,0
652,0
707,0
632,0
707,0
802,0
682,0
758,0
592,0
745,0
718,0
842,0
798,0
730,0
617,0
817,1
705,0
706,0
878,1
774,0
599,0
