"","Credit.Rating","Balance.of.Current.Account","Duration.of.Credit","Payment.of.Previous.Credits","Purpose.of.Credit","Amount.of.Credit","Value.of.Savings","Employed.by.Current.Employer.for","Installment.in...of.Available.Income","Marital.Status","Gender","Living.in.Current.Household.for","Most.Valuable.Assets","Age","Further.running.credits","Type.of.Apartment","Number.of.previous.credits.at.this.bank","Occupation"
"26","good","no balance",48,"no problems with current credits","business",10614.8,"<140","unemployed","25-35","single","male",">8 years","ownership of house or land",29,"no further running credits","rented","one","executive/self-employed"
"27","bad","no balance",24,"no problems with current credits","used car",2889.6,"no savings","unemployed","15- 25","divorced/living apart/married","female","1-5 years","car",32,"no further running credits","rented","one","executive/self-employed"
"28","good",">$300",33,"paid back","new car",10154.2,"no savings","5-8 years","15- 25","single","male","1-5 years","life insurance",33,"no further running credits","rented","2- 4","executive/self-employed"
"29","good","no balance",12,"no previous credits","furniture",2193.8,"no savings","1-5 years","> 35","divorced/living apart/married","female","< 1 year","life insurance",20,"no further running credits","rented","one","skilled employee"
"30","good","no balance",12,"no previous credits","furniture",1617,"no savings","> 8 years","15- 25","married/widowed","male","5-8 years","no assets",38,"at other banks","rented","2- 4","unskilled with permanant residence"
"31","bad",">$300",36,"paid back","other",10997,"no savings","1-5 years","< 15","divorced/living apart/married","female","1-5 years","no assets",23,"at department store","rented","2- 4","skilled employee"
"32","good","no running account",12,"no previous credits","used car",1804.6,"no savings","1-5 years","< 15","single","male","< 1 year","car",19,"no further running credits","rented","one","unskilled with permanant residence"
"33","good","no running account",6,"paid back","furniture",1636.6,">1400","> 8 years","< 15","single","male",">8 years","no assets",65,"no further running credits","rented","2- 4","skilled employee"
"34","bad","no balance",30,"paid back","other",5948.6,"no savings","unemployed","< 15","married/widowed","male","1-5 years","life insurance",26,"no further running credits","rented","2- 4","executive/self-employed"
"35","good",">$300",24,"no previous credits","other",10350.2,"no savings","1-5 years","> 35","single","male",">8 years","car",41,"no further running credits","rented","one","unskilled with permanant residence"
"36","bad","no running account",16,"paid back","other",3675,"no savings","> 8 years","25-35","single","male",">8 years","car",41,"no further running credits","free","one","skilled employee"
"37","bad","no running account",12,"no previous credits","television",1037.4,"<140","unemployed","< 15","divorced/living apart/married","female","5-8 years","car",20,"no further running credits","rented","one","skilled employee"
"38","good",">$300",9,"paid back","other",2987.6,"no savings","1-5 years","< 15","single","male",">8 years","life insurance",46,"no further running credits","rented","5- 6","skilled employee"
"39","bad",">$300",27,"no previous credits","other",3598,"no savings","1-5 years","15- 25","divorced/living apart/married","female","5-8 years","no assets",19,"no further running credits","free","one","skilled employee"
"40","good",">$300",6,"paid back","furniture",1934.8,"no savings","1-5 years","> 35","divorced/living apart/married","female","< 1 year","life insurance",26,"no further running credits","rented","2- 4","skilled employee"
"41","bad","no running account",42,"no previous credits","furniture",5551,"no savings","<1 year","< 15","single","male","5-8 years","life insurance",32,"no further running credits","rented","one","skilled employee"
"42","good","<= $300",12,"no previous credits","furniture",2633.4,"no savings","1-5 years","25-35","divorced/living apart/married","female","1-5 years","life insurance",42,"no further running credits","free","one","unskilled with permanant residence"
"43","good","no balance",9,"no previous credits","furniture",2965.2,"no savings","1-5 years","25-35","single","male","1-5 years","no assets",35,"no further running credits","rented","one","unskilled with permanant residence"
"44","good",">$300",15,"no problems with current credits","furniture",2069.2,"no savings","1-5 years","< 15","married/widowed","male","5-8 years","no assets",31,"at other banks","rented","2- 4","skilled employee"
"45","good",">$300",24,"no previous credits","new car",3738,"no savings","> 8 years","< 15","single","male",">8 years","life insurance",33,"no further running credits","rented","one","executive/self-employed"
"46","good","no balance",12,"no previous credits","retraining",1177.4,"<140","5-8 years","25-35","divorced/living apart/married","female",">8 years","no assets",21,"no further running credits","free","one","unskilled with permanant residence"
"47","good",">$300",15,"no previous credits","other",7453.6,"140-700","> 8 years","> 35","divorced/living apart/married","female",">8 years","ownership of house or land",33,"no further running credits","owned","one","skilled employee"
"48","good","no running account",27,"no previous credits","furniture",4782.4,"no savings","1-5 years","15- 25","single","male","1-5 years","life insurance",25,"no further running credits","rented","one","executive/self-employed"
"49","good","no balance",10,"no previous credits","used car",2129.4,"no savings","1-5 years","< 15","divorced/living apart","male","1-5 years","life insurance",29,"no further running credits","rented","one","unskilled with permanant residence"
"50","bad","no running account",18,"no previous credits","other",1702.4,"no savings","<1 year","< 15","divorced/living apart/married","female","5-8 years","life insurance",21,"no further running credits","free","one","skilled employee"
"51","good","<= $300",24,"paid back","furniture",4407.2,">1400","1-5 years","15- 25","single","male","1-5 years","life insurance",29,"no further running credits","rented","2- 4","skilled employee"
"52","bad","no balance",24,"no previous credits","new car",5758.2,"140-700","<1 year","15- 25","divorced/living apart/married","female",">8 years","life insurance",26,"no further running credits","free","one","skilled employee"
"53","good",">$300",24,"no previous credits","other",1748.6,"no savings","<1 year","< 15","married/widowed","male","1-5 years","no assets",26,"no further running credits","rented","one","skilled employee"
"54","good",">$300",6,"no previous credits","used car",4169.2,"140-700","1-5 years","> 35","single","male","1-5 years","life insurance",30,"no further running credits","rented","one","skilled employee"
"55","bad",">$300",12,"paid back","retraining",3208.8,"no savings","unemployed","< 15","single","male","1-5 years","life insurance",40,"at department store","rented","2- 4","executive/self-employed"
"56","good",">$300",12,"paid back","retraining",1769.6,">1400","> 8 years","< 15","single","male",">8 years","ownership of house or land",55,"no further running credits","free","one","unskilled with permanant residence"
"57","good",">$300",18,"paid back","used car",5292,"no savings","<1 year","15- 25","divorced/living apart","male","1-5 years","life insurance",33,"no further running credits","rented","2- 4","executive/self-employed"
"58","good",">$300",15,"no previous credits","other",4460.4,"700-1400","5-8 years","25-35","divorced/living apart/married","female","5-8 years","life insurance",18,"no further running credits","free","one","skilled employee"
"59","good",">$300",60,"no previous credits","other",14512.4,"no savings","> 8 years","25-35","single","male",">8 years","car",40,"no further running credits","rented","one","executive/self-employed"
"60","good",">$300",18,"paid back","furniture",8498,"no savings","> 8 years","15- 25","single","male",">8 years","life insurance",31,"no further running credits","rented","2- 4","skilled employee"
"61","good",">$300",24,"paid back","new car",8125.6,"700-1400","1-5 years","< 15","single","male","1-5 years","no assets",25,"no further running credits","rented","2- 4","skilled employee"
"62","good","no running account",24,"no previous credits","used car",10809.4,">1400","<1 year","> 35","divorced/living apart/married","female","1-5 years","car",28,"no further running credits","rented","one","skilled employee"
"63","good",">$300",6,"paid back","other",350,"700-1400","1-5 years","25-35","divorced/living apart/married","female","1-5 years","no assets",39,"at other banks","rented","2- 4","unskilled with permanant residence"
"64","good",">$300",6,"no previous credits","used car",2160.2,"700-1400","1-5 years","< 15","divorced/living apart","male","1-5 years","no assets",31,"no further running credits","rented","one","skilled employee"
"65","good","no balance",11,"no previous credits","used car",2207.8,"700-1400","<1 year","< 15","divorced/living apart/married","female","< 1 year","no assets",18,"no further running credits","rented","one","skilled employee"
"66","good","no balance",15,"paid back","furniture",3819.2,">1400","5-8 years","< 15","single","male","1-5 years","no assets",33,"at other banks","rented","5- 6","skilled employee"
"67","good",">$300",24,"no problems with current credits","other",1003.8,">1400","> 8 years","< 15","married/widowed","male",">8 years","life insurance",52,"no further running credits","rented","2- 4","skilled employee"
"68","good","no running account",6,"paid back","other",1204,"no savings","> 8 years","> 35","divorced/living apart/married","female",">8 years","ownership of house or land",37,"no further running credits","rented","2- 4","skilled employee"
"69","bad",">$300",18,"no previous credits","household appliances",2720.2,"no savings","<1 year","< 15","divorced/living apart/married","female",">8 years","no assets",21,"no further running credits","rented","one","skilled employee"
"70","bad","no running account",36,"no previous credits","other",12979.4,"no savings","5-8 years","25-35","single","male","< 1 year","life insurance",22,"no further running credits","rented","one","skilled employee"
"71","good",">$300",15,"paid back","furniture",1842.4,"140-700","1-5 years","25-35","married/widowed","male","1-5 years","car",45,"no further running credits","rented","2- 4","unskilled with permanant residence"
"72","good",">$300",24,"no previous credits","new car",4883.2,"<140","5-8 years","15- 25","divorced/living apart/married","female",">8 years","life insurance",21,"no further running credits","rented","one","skilled employee"
"73","bad","no running account",21,"no previous credits","furniture",2569,"no savings","1-5 years","15- 25","divorced/living apart/married","female","1-5 years","no assets",23,"no further running credits","rented","2- 4","skilled employee"
"74","good","no running account",18,"hesistant","retraining",4345.6,"no savings","5-8 years","15- 25","single","male","< 1 year","car",29,"at other banks","rented","one","skilled employee"
"75","bad","no balance",12,"no previous credits","other",1170.4,"<140","<1 year","< 15","divorced/living apart/married","female","1-5 years","car",21,"at other banks","rented","one","unskilled with permanant residence"
"76","good",">$300",24,"no previous credits","used car",7715.4,"<140","1-5 years","< 15","single","male","< 1 year","life insurance",23,"at department store","rented","one","skilled employee"
"77","good","<= $300",18,"no previous credits","other",2745.4,"no savings","> 8 years","15- 25","divorced/living apart/married","female","1-5 years","life insurance",21,"no further running credits","rented","one","executive/self-employed"
"78","good","no balance",10,"no previous credits","other",10231.2,"no savings","unemployed","25-35","single","male",">8 years","ownership of house or land",68,"at other banks","owned","one","executive/self-employed"
"79","good",">$300",24,"paid back","furniture",3393.6,">1400","> 8 years","< 15","single","male",">8 years","car",51,"no further running credits","rented","2- 4","skilled employee"
"80","bad","no balance",36,"no problems with current credits","other",3115,"no savings","> 8 years","< 15","single","male",">8 years","ownership of house or land",55,"at other banks","owned","2- 4","skilled employee"
"81","good",">$300",6,"no previous credits","furniture",2233,"no savings","5-8 years","15- 25","single","male","1-5 years","car",49,"no further running credits","rented","one","skilled employee"
"82","bad","no balance",48,"hesistant","business",25793.6,"no savings","1-5 years","> 35","divorced/living apart/married","female","1-5 years","car",30,"at other banks","rented","one","executive/self-employed"
"83","bad","no running account",24,"problematic running accounts","used car",9620.8,"no savings","<1 year","25-35","divorced/living apart","male","< 1 year","car",53,"at other banks","rented","one","skilled employee"
"84","good","no balance",36,"no problems with current credits","other",10404.8,"no savings","1-5 years","25-35","divorced/living apart/married","female","1-5 years","car",52,"no further running credits","free","one","skilled employee"
"85","good",">$300",30,"paid back","new car",10634.4,">1400","> 8 years","> 35","single","male",">8 years","life insurance",61,"no further running credits","rented","2- 4","skilled employee"
"86","good","no running account",30,"no previous credits","new car",5399.8,"no savings","1-5 years","< 15","divorced/living apart","male",">8 years","car",38,"no further running credits","rented","one","executive/self-employed"
"87","good","<= $300",10,"paid back","furniture",1885.8,">1400","5-8 years","< 15","single","male","1-5 years","car",25,"no further running credits","rented","2- 4","skilled employee"
"88","good","no balance",30,"no previous credits","furniture",4187.4,">1400","> 8 years","25-35","divorced/living apart/married","female",">8 years","life insurance",23,"no further running credits","rented","one","skilled employee"
"89","good","no balance",36,"no previous credits","repair",5195.4,">1400","1-5 years","25-35","married/widowed","male","1-5 years","life insurance",25,"no further running credits","rented","one","skilled employee"
"90","good","no balance",6,"no problems with current credits","retraining",2028.6,"<140","> 8 years","> 35","divorced/living apart","male","1-5 years","life insurance",29,"at other banks","rented","2- 4","skilled employee"
"91","good","no balance",48,"problematic running accounts","other",17036.6,">1400","unemployed","< 15","single","male",">8 years","ownership of house or land",34,"no further running credits","owned","one","executive/self-employed"
"92","bad","no running account",12,"no previous credits","repair",1113,"no savings","<1 year","< 15","divorced/living apart/married","female",">8 years","car",51,"no further running credits","rented","one","skilled employee"
"93","good",">$300",15,"no previous credits","new car",1820,">1400","> 8 years","< 15","single","male",">8 years","ownership of house or land",43,"at other banks","owned","one","skilled employee"
"94","good",">$300",36,"no problems with current credits","new car",12525.8,">1400","5-8 years","15- 25","single","male","1-5 years","life insurance",29,"at department store","rented","one","executive/self-employed"
"95","good",">$300",24,"paid back","furniture",3757.6,"no savings","1-5 years","< 15","single","male","1-5 years","no assets",33,"no further running credits","rented","2- 4","unskilled with permanant residence"
"96","good","no running account",21,"paid back","other",799.4,"no savings","> 8 years","< 15","single","male",">8 years","no assets",63,"no further running credits","rented","2- 4","skilled employee"
"97","good","<= $300",10,"no previous credits","television",1715,"no savings","1-5 years","25-35","single","male","1-5 years","life insurance",35,"no further running credits","rented","one","skilled employee"
"98","good","no balance",27,"no problems with current credits","new car",8351,"no savings","> 8 years","> 35","single","male","1-5 years","life insurance",28,"no further running credits","rented","2- 4","executive/self-employed"
"99","good",">$300",12,"paid back","household appliances",1394.4,">1400","5-8 years","< 15","divorced/living apart/married","female",">8 years","no assets",21,"no further running credits","rented","2- 4","skilled employee"
"100","good",">$300",24,"no previous credits","furniture",2172.8,"no savings","5-8 years","15- 25","single","male","< 1 year","life insurance",30,"at other banks","rented","one","skilled employee"
"101","bad",">$300",30,"problematic running accounts","new car",10479,">1400","unemployed","< 15","divorced/living apart/married","female","< 1 year","no assets",51,"at other banks","rented","one","executive/self-employed"
"102","good","no running account",12,"no previous credits","used car",912.8,"no savings","> 8 years","< 15","divorced/living apart/married","female",">8 years","car",22,"no further running credits","free","one","skilled employee"
"103","good","no running account",12,"paid back","furniture",539,"no savings","5-8 years","< 15","divorced/living apart/married","female","5-8 years","no assets",56,"no further running credits","rented","7 or more","unskilled with permanant residence"
"104","good","no balance",12,"no previous credits","furniture",1528.8,"no savings","1-5 years","< 15","divorced/living apart/married","female",">8 years","no assets",47,"no further running credits","rented","2- 4","skilled employee"
"105","good","no balance",24,"no problems with current credits","retraining",6596.8,">1400","1-5 years","< 15","single","male","1-5 years","car",32,"at other banks","rented","2- 4","executive/self-employed"
"106","good",">$300",9,"paid back","repair",1741.6,">1400","> 8 years","< 15","divorced/living apart/married","female",">8 years","car",39,"no further running credits","free","2- 4","unskilled with permanant residence"
"107","good",">$300",6,"problematic running accounts","furniture",2450,"140-700","> 8 years","25-35","single","male",">8 years","car",43,"at other banks","rented","one","unskilled with permanant residence"
"108","good","no balance",18,"no previous credits","retraining",3670.8,"<140","1-5 years","< 15","single","male",">8 years","life insurance",32,"no further running credits","rented","one","skilled employee"
"109","good",">$300",9,"paid back","repair",1310.4,"140-700","> 8 years","< 15","single","male","1-5 years","life insurance",50,"no further running credits","rented","2- 4","skilled employee"
"110","good","no balance",24,"no previous credits","furniture",7117.6,">1400","> 8 years","25-35","divorced/living apart/married","female",">8 years","life insurance",40,"no further running credits","rented","one","skilled employee"
"111","good",">$300",36,"no problems with current credits","other",15225,"no savings","> 8 years","25-35","single","male","1-5 years","life insurance",43,"no further running credits","rented","2- 4","skilled employee"
"112","bad",">$300",48,"no previous credits","retraining",5479.6,">1400","1-5 years","< 15","divorced/living apart","male","1-5 years","no assets",36,"at other banks","rented","one","skilled employee"
"113","good","no running account",42,"no previous credits","used car",11034.8,"no savings","5-8 years","25-35","single","male",">8 years","car",43,"no further running credits","owned","one","skilled employee"
"114","bad",">$300",18,"no previous credits","furniture",606.2,"no savings","unemployed","15- 25","divorced/living apart/married","female",">8 years","no assets",20,"no further running credits","free","one","skilled employee"
"115","good",">$300",12,"paid back","furniture",1003.8,"no savings","> 8 years","< 15","single","male",">8 years","no assets",50,"no further running credits","rented","5- 6","skilled employee"
"116","good",">$300",13,"no previous credits","furniture",1972.6,"<140","unemployed","25-35","divorced/living apart/married","female",">8 years","no assets",62,"no further running credits","rented","one","skilled employee"
"117","bad","no balance",6,"problematic running accounts","repair",606.2,"700-1400","<1 year","< 15","divorced/living apart/married","female","1-5 years","car",22,"at other banks","free","one","skilled employee"
"118","good",">$300",24,"no previous credits","furniture",1835.4,"<140","5-8 years","< 15","married/widowed","male","5-8 years","car",24,"no further running credits","rented","one","skilled employee"
"119","good",">$300",24,"no previous credits","furniture",1789.2,"no savings","> 8 years","< 15","single","male","< 1 year","no assets",34,"no further running credits","rented","one","executive/self-employed"
"120","good",">$300",24,"no previous credits","used car",5560.8,"no savings","5-8 years","25-35","divorced/living apart/married","female",">8 years","car",23,"no further running credits","free","one","skilled employee"
"121","bad","no running account",6,"paid back","used car",4737.6,"no savings","1-5 years","> 35","divorced/living apart","male",">8 years","no assets",42,"no further running credits","free","one","executive/self-employed"
"122","good",">$300",6,"no previous credits","furniture",1884.4,"<140","> 8 years","25-35","single","male",">8 years","ownership of house or land",40,"at other banks","owned","one","skilled employee"
"123","good","no running account",24,"no previous credits","new car",4149.6,">1400","> 8 years","< 15","single","male",">8 years","ownership of house or land",47,"at other banks","owned","one","skilled employee"
"124","good","no balance",24,"paid back","furniture",2440.2,"no savings","> 8 years","< 15","single","male","1-5 years","car",46,"no further running credits","rented","2- 4","unskilled with permanant residence"
"125","good",">$300",18,"paid back","furniture",2214.8,"700-1400","> 8 years","< 15","single","male",">8 years","life insurance",44,"no further running credits","rented","2- 4","skilled employee"
"126","bad","no balance",24,"no previous credits","other",1897,"no savings","<1 year","15- 25","divorced/living apart/married","female",">8 years","life insurance",23,"no further running credits","rented","one","unskilled with permanant residence"
"127","good",">$300",24,"paid back","used car",2219,"no savings","5-8 years","< 15","single","male","5-8 years","car",38,"no further running credits","rented","2- 4","skilled employee"
"128","good",">$300",12,"no previous credits","other",896,"no savings","1-5 years","< 15","divorced/living apart","male","1-5 years","no assets",47,"no further running credits","rented","one","unskilled with permanant residence"
"129","good",">$300",6,"paid back","furniture",2175.6,"no savings","5-8 years","> 35","divorced/living apart/married","female","1-5 years","life insurance",22,"no further running credits","free","2- 4","skilled employee"
"130","bad",">$300",12,"no problems with current credits","household appliances",2177,"700-1400","> 8 years","< 15","single","male",">8 years","ownership of house or land",53,"no further running credits","owned","2- 4","skilled employee"
"131","good",">$300",24,"paid back","retraining",5794.6,"<140","1-5 years","15- 25","single","male","5-8 years","car",25,"no further running credits","rented","2- 4","unskilled with permanant residence"
"132","bad","no balance",21,"no previous credits","retraining",3873.8,"<140","> 8 years","< 15","divorced/living apart","male","1-5 years","life insurance",59,"no further running credits","free","2- 4","unskilled with permanant residence"
"133","good",">$300",12,"paid back","furniture",3263.4,">1400","> 8 years","> 35","single","male",">8 years","no assets",47,"no further running credits","rented","one","skilled employee"
"134","good",">$300",9,"no previous credits","used car",1838.2,"no savings","> 8 years","> 35","single","male",">8 years","life insurance",18,"no further running credits","rented","one","skilled employee"
"135","good","no balance",26,"no previous credits","new car",11152.4,"no savings","<1 year","25-35","single","male","5-8 years","life insurance",28,"no further running credits","rented","2- 4","skilled employee"
"136","good","no running account",24,"paid back","new car",9261,"no savings","unemployed","25-35","single","male",">8 years","ownership of house or land",73,"no further running credits","owned","2- 4","executive/self-employed"
"137","bad","no running account",30,"no previous credits","used car",8890,">1400","> 8 years","< 15","single","male",">8 years","car",29,"no further running credits","rented","one","skilled employee"
"138","bad","no balance",24,"no previous credits","other",3805.2,"no savings","1-5 years","15- 25","divorced/living apart/married","female",">8 years","car",18,"no further running credits","free","one","unskilled with permanant residence"
"139","good",">$300",4,"paid back","furniture",2161.6,"no savings","5-8 years","25-35","single","male","< 1 year","no assets",40,"no further running credits","rented","5- 6","unskilled with permanant residence"
"140","bad","no running account",24,"no previous credits","other",1933.4,">1400","1-5 years","< 15","divorced/living apart/married","female","1-5 years","car",33,"no further running credits","rented","one","skilled employee"
"141","bad","no balance",48,"no previous credits","used car",13944,"no savings","<1 year","> 35","divorced/living apart/married","female","1-5 years","life insurance",24,"at other banks","rented","one","skilled employee"
"142","good","no balance",18,"no previous credits","new car",3890.6,"no savings","1-5 years","> 35","married/widowed","male","5-8 years","life insurance",19,"no further running credits","free","one","skilled employee"
"143","good","no running account",24,"problematic running accounts","used car",3959.2,"140-700","1-5 years","< 15","single","male",">8 years","no assets",20,"at department store","rented","one","skilled employee"
"144","bad","no running account",48,"no previous credits","other",10868.2,"no savings","> 8 years","< 15","single","male",">8 years","ownership of house or land",40,"at other banks","owned","one","executive/self-employed"
"145","good",">$300",11,"no previous credits","retraining",2998.8,"700-1400","> 8 years","> 35","divorced/living apart","male","1-5 years","no assets",26,"no further running credits","rented","one","skilled employee"
"146","good",">$300",24,"no previous credits","furniture",1978.2,"no savings","1-5 years","< 15","married/widowed","male","1-5 years","car",26,"no further running credits","rented","one","skilled employee"
"147","good",">$300",21,"no previous credits","other",3894.8,"140-700","5-8 years","> 35","divorced/living apart/married","female","1-5 years","life insurance",29,"at other banks","rented","one","executive/self-employed"
"148","good","<= $300",6,"paid back","other",1880.2,"no savings","> 8 years","> 35","single","male",">8 years","no assets",44,"no further running credits","rented","2- 4","skilled employee"
"149","bad","no balance",12,"no previous credits","other",959,"no savings","5-8 years","25-35","married/widowed","male","5-8 years","life insurance",23,"at other banks","rented","one","unskilled with permanant residence"
"150","bad","no balance",48,"no previous credits","retraining",21940.8,"no savings","1-5 years","25-35","single","male","1-5 years","life insurance",21,"no further running credits","rented","one","skilled employee"
"151","good","no running account",12,"no previous credits","used car",2319.8,"no savings","1-5 years","25-35","single","male","1-5 years","no assets",25,"no further running credits","rented","one","skilled employee"
"152","bad","no balance",12,"no previous credits","used car",1331.4,"<140","<1 year","< 15","divorced/living apart/married","female",">8 years","life insurance",25,"at other banks","free","7 or more","skilled employee"
"153","bad","no running account",36,"no previous credits","used car",7250.6,"no savings","5-8 years","< 15","single","male","1-5 years","car",27,"no further running credits","rented","one","skilled employee"
"154","good","no balance",18,"hesistant","used car",4541.6,"no savings","1-5 years","> 35","divorced/living apart/married","female",">8 years","life insurance",31,"at other banks","rented","2- 4","skilled employee"
"155","bad","no balance",30,"paid back","used car",11740.4,"no savings","5-8 years","25-35","single","male","1-5 years","car",47,"no further running credits","rented","one","skilled employee"
"156","bad","no running account",36,"paid back","new car",13480.6,"no savings","5-8 years","< 15","single","male",">8 years","life insurance",22,"no further running credits","rented","2- 4","skilled employee"
"157","good",">$300",24,"paid back","retraining",6336.4,"no savings","1-5 years","15- 25","single","male","1-5 years","no assets",72,"no further running credits","rented","one","executive/self-employed"
"158","good",">$300",24,"paid back","used car",5287.8,"700-1400","1-5 years","< 15","single","male",">8 years","no assets",38,"no further running credits","rented","one","skilled employee"
"159","good","<= $300",10,"no previous credits","other",5528.6,"no savings","<1 year","> 35","single","male","< 1 year","car",35,"no further running credits","rented","one","unskilled with permanant residence"
"160","good","no balance",45,"paid back","new car",6406.4,"<140","unemployed","15- 25","single","male",">8 years","life insurance",25,"no further running credits","rented","one","skilled employee"
"161","good",">$300",24,"paid back","household appliances",7709.8,"no savings","> 8 years","15- 25","single","male",">8 years","ownership of house or land",42,"no further running credits","owned","2- 4","skilled employee"
"162","bad","no balance",24,"no previous credits","furniture",2854.6,"no savings","<1 year","> 35","married/widowed","male","< 1 year","car",20,"no further running credits","rented","one","skilled employee"
"163","good","no running account",9,"no previous credits","furniture",1909.6,"no savings","5-8 years","15- 25","single","male",">8 years","no assets",57,"no further running credits","rented","one","skilled employee"
"164","bad","no balance",60,"no previous credits","other",19637.8,"no savings","5-8 years","< 15","single","male","1-5 years","ownership of house or land",25,"no further running credits","rented","one","executive/self-employed"
"165","good","no balance",12,"no previous credits","other",10460.8,">1400","unemployed","> 35","divorced/living apart/married","female","1-5 years","no assets",22,"no further running credits","free","one","unskilled with no permanant residence"
"166","good",">$300",30,"no previous credits","furniture",3266.2,"140-700","> 8 years","< 15","single","male","1-5 years","life insurance",28,"at other banks","rented","one","executive/self-employed"
"167","bad","no balance",12,"no previous credits","used car",2690.8,"no savings","1-5 years","< 15","single","male","1-5 years","car",35,"no further running credits","rented","one","unskilled with permanant residence"
"168","good",">$300",12,"no previous credits","used car",1068.2,"no savings","1-5 years","< 15","divorced/living apart/married","female","< 1 year","no assets",24,"no further running credits","rented","one","skilled employee"
